Record Length,11250,,Source,CH2
Sample Interval, CH2:0.0000004000000,,Second,Volt
Vertical Units, CH2:V,,-0.00045000000,11.00000
Vertical Scale, CH2:5.00,,-0.00044992000,11.20000
Vertical Offset, CH2:0.00,,-0.00044984000,11.20000
Horizontal Units,s,,-0.00044976000,11.20000
Horizontal Scale,0.0000500000,,-0.00044968000,11.20000
Model Number,SDS1072CML,,-0.00044960000,11.20000
Serial Number,SDS100P2150691,,-0.00044951997,11.20000
Software Version,5.01.02.29,,-0.00044944000,11.20000
,,,-0.00043344000,14.20000
,,,-0.00043336000,14.20000
,,,-0.00043328000,14.20000
,,,-0.00043320000,14.20000
,,,-0.00043312000,14.20000
,,,-0.00043304000,14.20000
,,,-0.00043296000,14.20000
,,,-0.00043287997,14.20000
,,,-0.00043280000,14.20000
,,,-0.00043272000,14.20000
,,,-0.00043264000,14.20000
,,,-0.00043256000,14.20000
,,,-0.00043248000,14.20000
,,,-0.00043240000,14.20000
,,,-0.00043232000,14.20000
,,,-0.00043224000,14.20000
,,,-0.00043216000,14.20000
,,,-0.00043208000,14.20000
,,,-0.00043200000,14.20000
,,,-0.00043192000,14.20000
,,,-0.00043184000,14.20000
,,,-0.00043176000,14.20000
,,,-0.00043168000,14.20000
,,,-0.00043160000,14.20000
,,,-0.00043152000,14.20000
,,,-0.00043144000,14.20000
,,,-0.00043136000,14.20000
,,,-0.00043128000,14.20000
,,,-0.00043120000,14.20000
,,,-0.00043112000,14.20000
,,,-0.00043104000,14.20000
,,,-0.00043096000,14.40000
,,,-0.00043088000,14.20000
,,,-0.00043080000,14.20000
,,,-0.00043072000,14.20000
,,,-0.00043064000,14.20000
,,,-0.00043056000,14.20000
,,,-0.00043048000,14.20000
,,,-0.00043040000,14.20000
,,,-0.00043032000,14.40000
,,,-0.00043024000,14.20000
,,,-0.00043016000,14.20000
,,,-0.00043008000,14.20000
,,,-0.00043000000,14.20000
,,,-0.00042992000,14.20000
,,,-0.00042984000,14.20000
,,,-0.00042976000,14.20000
,,,-0.00042968000,14.20000
,,,-0.00042960000,14.20000
,,,-0.00042952000,14.20000
,,,-0.00042944000,14.20000
,,,-0.00042936000,14.20000
,,,-0.00042928000,14.20000
,,,-0.00042920000,14.20000
,,,-0.00042912000,14.20000
,,,-0.00042904000,14.20000
,,,-0.00042896000,14.20000
,,,-0.00042888000,14.20000
,,,-0.00042880000,14.40000
,,,-0.00042872000,14.20000
,,,-0.00042864000,14.20000
,,,-0.00042856000,14.20000
,,,-0.00042848000,14.20000
,,,-0.00042840000,14.20000
,,,-0.00042832000,14.20000
,,,-0.00042824000,14.20000
,,,-0.00042815997,14.20000
,,,-0.00042808000,14.20000
,,,-0.00042800000,14.20000
,,,-0.00042792000,14.20000
,,,-0.00042784000,14.20000
,,,-0.00042776000,14.20000
,,,-0.00042768000,14.20000
,,,-0.00042760000,14.40000
,,,-0.00042752000,14.20000
,,,-0.00042743997,14.20000
,,,-0.00042736000,14.20000
,,,-0.00042728000,14.20000
,,,-0.00042720000,14.20000
,,,-0.00042712000,14.20000
,,,-0.00042704000,14.20000
,,,-0.00042696000,14.20000
,,,-0.00042688000,14.20000
,,,-0.00042680000,14.20000
,,,-0.00042671997,14.20000
,,,-0.00042664000,14.20000
,,,-0.00042656000,14.20000
,,,-0.00042648000,14.20000
,,,-0.00042640000,14.20000
,,,-0.00042632000,14.20000
,,,-0.00042624000,14.20000
,,,-0.00042616000,14.20000
,,,-0.00042608000,14.20000
,,,-0.00042599997,14.20000
,,,-0.00042592000,14.20000
,,,-0.00042584000,14.20000
,,,-0.00042576000,14.20000
,,,-0.00042568000,14.20000
,,,-0.00042560000,14.20000
,,,-0.00042552000,14.20000
,,,-0.00042544000,14.20000
,,,-0.00042536000,14.20000
,,,-0.00042528000,14.20000
,,,-0.00042520000,14.20000
,,,-0.00042512000,14.20000
,,,-0.00042504000,14.20000
,,,-0.00042496000,14.20000
,,,-0.00042488000,14.20000
,,,-0.00042480000,14.20000
,,,-0.00042472000,14.20000
,,,-0.00042464000,14.20000
,,,-0.00042456000,14.20000
,,,-0.00042448000,14.20000
,,,-0.00042440000,14.20000
,,,-0.00042432000,14.20000
