Source,CH1,CH2
Second,Volt,Volt
-0.00436400031,-0.03200,-0.32800
-0.00436320031,-0.02800,-0.33600
-0.00436240000,-0.03000,-0.32800
-0.00436160000,-0.03600,-0.33600
-0.00436080000,-0.03400,-0.32800
-0.00436000000,-0.03000,-0.33600
-0.00435920000,-0.02800,-0.32800
-0.00435840000,-0.03000,-0.32800
-0.00435760000,-0.03600,-0.33600
-0.00435680000,-0.02800,-0.33600
-0.00435600000,-0.02800,-0.32800
-0.00435520000,-0.02600,-0.33600
-0.00435440000,-0.03000,-0.33600
-0.00435360000,-0.03200,-0.32800
-0.00435280000,-0.02400,-0.33600
-0.00435200000,-0.02600,-0.32800
-0.00435120000,-0.02800,-0.33600
-0.00435040000,-0.03000,-0.33600
-0.00434960000,-0.02400,-0.33600
-0.00434880000,-0.02400,-0.33600
-0.00434800000,-0.02600,-0.32800
-0.00434720000,-0.03000,-0.33600
-0.00434640000,-0.03000,-0.33600
-0.00434560000,-0.02200,-0.33600
-0.00434480000,-0.02400,-0.33600
-0.00434400000,-0.03000,-0.33600
-0.00434320000,-0.03000,-0.33600
-0.00434240000,-0.02000,-0.33600
-0.00434160000,-0.02200,-0.33600
-0.00434080000,-0.02600,-0.33600
-0.00434000000,-0.02600,-0.33600
-0.00433920000,-0.02400,-0.33600
-0.00433840000,-0.01800,-0.33600
-0.00433760000,-0.02400,-0.33600
-0.00433680000,-0.02400,-0.33600
-0.00433600000,-0.02400,-0.33600
-0.00433520000,-0.02200,-0.33600
-0.00433440000,-0.01600,-0.33600
-0.00433360000,-0.02600,-0.33600
-0.00433280000,-0.02400,-0.33600
-0.00433200000,-0.02000,-0.33600
-0.00433120000,-0.01600,-0.33600
-0.00433040000,-0.02400,-0.32800
-0.00432960000,-0.02400,-0.33600
-0.00432880000,-0.02000,-0.33600
-0.00432800000,-0.01400,-0.33600
-0.00432720000,-0.02000,-0.32800
-0.00432640000,-0.02400,-0.33600
-0.00432560000,-0.01800,-0.33600
-0.00432480000,-0.01600,-0.32800
-0.00432400000,-0.01400,-0.33600
-0.00432320000,-0.01800,-0.33600
-0.00432240000,-0.02400,-0.33600
-0.00432160000,-0.01400,-0.33600
-0.00432079969,-0.01400,-0.33600
-0.00431999969,-0.01200,-0.33600
-0.00431919969,-0.02400,-0.33600
-0.00431839969,-0.01800,-0.33600
-0.00431760031,-0.00800,-0.33600
-0.00431680031,-0.01200,-0.33600
-0.00431600031,-0.01800,-0.33600
-0.00431520031,-0.01800,-0.33600
-0.00431440031,-0.00800,-0.33600
-0.00431360031,-0.01200,-0.33600
-0.00431280031,-0.01400,-0.33600
-0.00431200031,-0.01400,-0.33600
-0.00431120031,-0.01200,-0.33600
-0.00431040031,-0.01000,-0.33600
-0.00430960031,-0.01400,-0.32800
-0.00430880031,-0.01200,-0.33600
-0.00430800031,-0.01600,-0.33600
-0.00430720031,-0.01000,-0.33600
-0.00430640031,-0.00600,-0.33600
-0.00430560031,-0.01200,-0.33600
-0.00430480031,-0.01400,-0.32800
-0.00430400031,-0.01600,-0.33600
-0.00430320031,-0.00200,-0.33600
-0.00430240031,-0.01000,-0.32800
-0.00430160031,-0.01400,-0.32800
-0.00430080000,-0.01200,-0.33600
-0.00430000000,-0.00600,-0.33600
-0.00429920000,-0.00600,-0.33600
-0.00429840000,-0.01200,-0.33600
-0.00429760000,-0.00800,-0.33600
-0.00429680000,-0.00600,-0.33600
-0.00429600000,-0.00200,-0.33600
-0.00429520000,-0.00800,-0.32800
-0.00429440000,-0.01400,-0.33600
-0.00429360000,-0.00600,-0.33600
-0.00429280000,-0.00400,-0.33600
-0.00429200000,-0.00400,-0.33600
-0.00429120000,-0.01200,-0.33600
-0.00429040000,-0.00200,-0.33600
-0.00428960000,-0.00200,-0.33600
-0.00428880000,-0.00600,-0.33600
-0.00428800000,-0.01000,-0.33600
-0.00428720000,-0.00600,-0.33600
-0.00428640000,0.00200,-0.33600
-0.00428560000,-0.00200,-0.32800
-0.00428480000,-0.00800,-0.33600
-0.00428400000,-0.00400,-0.33600
-0.00428320000,0.00,-0.32800
-0.00428240000,0.00200,-0.33600
-0.00428160000,-0.00400,-0.33600
-0.00428080000,-0.00600,-0.33600
-0.00428000000,0.00,-0.33600
-0.00427920000,0.00400,-0.33600
-0.00427840000,-0.00200,-0.32800
-0.00427760000,-0.00400,-0.33600
-0.00427680000,-0.00200,-0.33600
-0.00427600000,0.00600,-0.33600
-0.00427520000,0.00400,-0.33600
-0.00427440000,-0.00400,-0.33600
-0.00427360000,0.00,-0.33600
