Frequency [Hz]   COH [a.u.]   Phase [rad]
41.406250       0.53788708      -0.33648956
41.503906       0.50231342     -0.092030808
41.601563       0.45588368     -0.040561020
41.699219       0.42784763      0.083024755
41.796875       0.33990158       0.10363294
41.894531       0.39730936      -0.12251722
41.992188       0.58952384      -0.18161996
42.089844       0.49623297      -0.14053826
42.187500       0.45766028     -0.062486980
42.285156       0.38659677     -0.066895403
42.382813       0.50489597    -0.0027499706
42.480469       0.42964885     -0.011758193
42.578125       0.44302905     -0.073452652
42.675781       0.47533382      -0.18448263
42.773438       0.54537217      -0.12116566
42.871094       0.60439434     -0.040904738
42.968750       0.61772312     -0.098139398
43.066406       0.56772238     -0.087014288
43.164063       0.59624828       0.18987298
43.261719       0.52357442     -0.018609466
43.359375       0.50562024      -0.26311916
43.457031       0.42073846      -0.11138839
43.554688       0.49650260       0.26835972
43.652344       0.51638667       0.22618258
43.750000       0.54848247     -0.020040138
43.847656       0.51494326     -0.058683209
43.945313       0.38874540     -0.077442460
44.042969       0.39229537       0.22478546
44.140625       0.50765134       0.12128954
44.238281       0.55100920      -0.16136780
44.335938       0.53401122       0.12453336
44.433594       0.51107535       0.21749397
44.531250       0.40166260       0.19265163
44.628906       0.44211066      0.025396483
44.726563       0.55844580      -0.11932753
44.824219       0.51708085      -0.12751262
44.921875       0.51541800     -0.098320305
45.019531       0.43302715     -0.099022895
45.117188       0.36751610       0.18225758
45.214844       0.47243740       0.15531848
45.312500       0.58560055      0.095478721
45.410156       0.53809146      -0.17194980
45.507813       0.46390568       0.11205890
45.605469       0.53482613       0.10143264
45.703125       0.53037465      0.034580704
45.800781       0.57560313      -0.14273997
45.898438       0.54858129      0.023576971
45.996094       0.35834037      -0.11324541
46.093750       0.36906535      -0.23962443
46.191406       0.52014945     -0.015068801
46.289063       0.46472874      -0.18939495
46.386719       0.38161825      -0.17878315
46.484375       0.50060570     0.0084722843
46.582031       0.51057738     -0.095495693
46.679688       0.34803383      0.049057733
46.777344       0.37993077      0.092127651
46.875000       0.50838238      -0.16087881
46.972656       0.45539369      -0.15056187
47.070313       0.38644795      -0.32553506
47.167969       0.35672647      0.015706409
47.265625       0.48708325    -0.0097314911
47.363281       0.51774020      0.012654794
47.460938       0.46392252      -0.31259960
47.558594       0.46478684      -0.59759772
47.656250       0.40890724      -0.34616590
47.753906       0.50799029      0.030697878
47.851563       0.52505767     -0.085222445
47.949219       0.54971818      0.053608261
48.046875       0.40497221     -0.078577533
48.144531       0.43790613      -0.18570238
48.242188       0.48605188      -0.26167053
48.339844       0.60273765      0.060688607
48.437500       0.55691343      0.064725019
48.535156       0.58819789       0.17582278
48.632813       0.64933472     -0.036856305
48.730469       0.67177688      -0.36253318
48.828125       0.66354586      -0.32511756
48.925781       0.65472371      -0.18640904
49.023438       0.64857287      -0.30429736
49.121094       0.57762593      -0.31031093
49.218750       0.60171209      -0.24824588
49.316406       0.67461965      -0.36388096
49.414063       0.53324227      -0.21107401
49.511719       0.54364066   -0.00036819695
49.609375       0.57750544      0.057266738
49.707031       0.46940062      0.083473787
49.804688       0.58343095      0.058359407
49.902344       0.30877902     -0.067778803
50.000000       0.25426658       0.00000000
